#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
44,Ogie Diaz @UCFjNqRoCvkOCYLnBUjdfmSg,3M,0.30%,Philippines,,891K,Ogie Diaz,3910000,535769984,393
45,Miniature Cusina @UCbtgvc9joz_6xBr4OLoy0iA,3M,-,Philippines,,888K,Miniature Cusina,2900000,486920949,563
46,Elgin @UC9ahzg5NE2d9jLgxdcqciJA,2.9M,0.10%,Philippines,,882K,Elgin,3550000,1551329427,5151
47,Braxy @Braxy,2.9M,0.10%,Philippines,,870K,,,,
48,KAYCEE WONDERLAND @UCfaJVVAQOQ56gf7JYWVugMg,2.9M,4.70%,Philippines,,870K,KAYCEE WONDERLAND,8370000,3108673561,172
49,Kim Chiu PH @UCUSmW85ETJC0mNXMmCzIyyw,2.9M,0.50%,Philippines,,864K,Kim Chiu PH,3360000,147067141,202
50,News5Everywhere @UCGEbMwiX774cseKvJqF9R2g,2.9M,-,Philippines,,858K,News5Everywhere,4510000,1839962092,109969
51,Moira Dela Torre @UCnOafy_XCtpz_EpLqVkgunQ,2.8M,2.40%,Philippines,,849K,Moira Dela Torre,3350000,551072197,100
52,Bea Alonzo @UC1ebx44DwOCzCSePqJIdC_g,2.8M,2.20%,Philippines,,843K,Bea Alonzo,3220000,212836415,185
53,UNTV News and Rescue @UC3XaG-7UVi2vD8ZZEMNnnpw,2.8M,-,Philippines,News Marketing and Advertising Television,837K,UNTV News and Rescue,4740000,2968911871,112862
54,Makagago Wazzup Man @UCdBppUV183m8dQ3RYygns-Q,2.8M,1%,Philippines,,828K,Makagago Wazzup Man,3000000,200946990,444
55,Love Marie Escudero @UCJdFejePA1O6fuKKwRqF6tg,2.8M,0.40%,Philippines,,828K,Love Marie Escudero,2940000,203082779,194
56,Wil Dasovich @UCSir19L_390tAg4IbCggvCg,2.8M,0.30%,Philippines,,825K,Wil Dasovich,2720000,310326516,646
57,CoversPH @UCaPwSXblS8F0owlKHGc6huw,2.7M,-,Philippines,,813K,CoversPH,4160000,2188273583,1160
58,RACHEL WONDERLAND @UCLmjrj9ZvStUlauvMl5fmmw,2.7M,-,Philippines,,807K,RACHEL WONDERLAND,3660000,1594267793,165
59,Junell Dominic @UCRKPNXzPWJtJeoVBaFVuBCw,2.7M,1%,Philippines,,804K,Junell Dominic,10400000,4350906906,1735
60,Bongbong Marcos @UCqgTKnYIeu4DNXGN5fBCY9Q,2.7M,1.60%,Philippines,,801K,Bongbong Marcos,2750000,146759861,1303
61,Jp Amazing Stories @UCnxkCLjb1JAvhQ8iBfIX2_Q,2.7M,-,Philippines,,798K,Jp Amazing Stories,3170000,467213835,892
62,Kaalaman @UCTfv9FQ_wKXIjzCIHxnSn2A,2.7M,-,Philippines,,795K,Kaalaman,2860000,196693379,391
63,SB19 Official @UCm4v7afBTnJKRm4SlfHJzyg,2.7M,0.70%,Philippines,,795K,SB19 Official,3780000,597565811,829
64,Riva Quenery @UCovX2oe7NONkys-qeR_j1_g,2.6M,-,Philippines,,789K,Riva Quenery,2720000,208105181,352
65,Yow @UCznibittbFHbwdDd5Fy01yQ,2.6M,-,Philippines,,771K,Yow,2660000,133817902,195
66,KrisTells Vlogs @UC925y3Dn61A7MBXGZJWNX9A,2.5M,2.20%,Philippines,,759K,KrisTells Vlogs,2790000,146882797,173
67,Wish 1075 @UC4mNKqTuEvp9tVXWz43ijwQ,2.5M,-,Philippines,,756K,Wish USA,2760000,581448709,648
68,Princess Thea @UC8IUIkIPEeulY3NBFtsthpQ,2.5M,0.10%,Philippines,,750K,Princess Thea Patriarca ,2490000,65997817,367
69,Happy Islanders @UCDiNUgM_dUHBgKCVR2awPCg,2.5M,0.40%,Philippines,,744K,Happy Islanders,2700000,175698673,182
70,Pamela Swing @PamelaSwing,2.5M,0.20%,Philippines,,741K,,,,
71,Grown Ups Kids' Toys @UCX7CYiI89e6wBnwytOx8A-Q,2.5M,-,Philippines,,741K,Cars Songs Animations,2420000,3052875787,682
72,Ben&Ben @UCD2HT__OY6xzj-YbnAXJhfA,2.4M,0.60%,Philippines,,729K,Ben&Ben,3090000,938173763,180
73,Sachzna @UC6Uqgjh-hUwgEYzLZ97wHkA,2.4M,-,Philippines,Beauty,717K,Sachzna,2470000,137195713,148
74,Kath Melendez @UCyoLstvUOn_0D646NWwomdA,2.3M,-,Philippines,,702K,Kath Melendez,2350000,122449922,319
75,Fumiya / FumiShun Base @UCi7Ofw4sJynsacr_i6uk_lA,2.3M,-,Philippines,,693K,FuMi no ie 🏠,2300000,7984162,797
76,Wilbert Tolentino VLOGS @UCuqzSaI7TFlqvMkw-nWlIfA,2.3M,0.40%,Philippines,Celebrity,690K,Wilbert Tolentino VLOGS,2360000,100153212,322
77,BEKS BATTALION @UCMGDO2WEtB_tUMtMapDZrVg,2.3M,0.40%,Philippines,,687K,BEKS BATTALION,2720000,369036139,481
78,Shaina Denniz @UC7MKav1P5Lt2JmSzY4pDqhQ,2.3M,-,Philippines,,681K,Shaina Denniz,2280000,68230466,239
79,Leteziaz @UChE6JU1pLupEdZgSbeBUuWw,2.3M,-,Philippines,,675K,Leteziaz,2280000,244950085,573
80,iNSECTiON @iNSECTiONML,2.3M,-,Philippines,,675K,,,,
81,Evo Kaloko @UCNmHmrv5SI9Gdk5O0jEyyug,2.1M,-,Philippines,,624K,Evo Kaloko,2550000,521218331,1767
82,Jose Hallorina @JoseHallorina,2.1M,-,Philippines,,621K,,,,
83,Andree Bonifacio @UCHzbmiu_C2bEhJcHOhVn3kg,2.1M,-,Philippines,,621K,Andree Bonifacio,2050000,112980148,407
84,Jeepney TV @UCayTnP1hE285GofWkTdXclw,2M,-,Philippines,,615K,Jeepney TV,2870000,1093069274,13569
85,Chinkee Tan @chinkpositive,2M,-,Philippines,,612K,,,,
86,Doc Adam @UCsrRPShwtgobdwkglhQVlDw,2M,-,Philippines,,609K,Doc Adam,2010000,59120943,95
87,Justin Vasquez @UCSVsSm4S2ZXNgT4hPqoTLBg,2M,0.10%,Philippines,,609K,Justin Vasquez,2190000,386165092,320
