#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
60,Bongbong Marcos @UCqgTKnYIeu4DNXGN5fBCY9Q,2.7M,1.60%,Philippines,,801K
61,Jp Amazing Stories @UCnxkCLjb1JAvhQ8iBfIX2_Q,2.7M,-,Philippines,,798K
62,Kaalaman @UCTfv9FQ_wKXIjzCIHxnSn2A,2.7M,-,Philippines,,795K
63,SB19 Official @UCm4v7afBTnJKRm4SlfHJzyg,2.7M,0.70%,Philippines,,795K
64,Riva Quenery @UCovX2oe7NONkys-qeR_j1_g,2.6M,-,Philippines,,789K
65,Yow @UCznibittbFHbwdDd5Fy01yQ,2.6M,-,Philippines,,771K
66,KrisTells Vlogs @UC925y3Dn61A7MBXGZJWNX9A,2.5M,2.20%,Philippines,,759K
67,Wish 1075 @UC4mNKqTuEvp9tVXWz43ijwQ,2.5M,-,Philippines,,756K
68,Princess Thea @UC8IUIkIPEeulY3NBFtsthpQ,2.5M,0.10%,Philippines,,750K
69,Happy Islanders @UCDiNUgM_dUHBgKCVR2awPCg,2.5M,0.40%,Philippines,,744K
70,Pamela Swing @PamelaSwing,2.5M,0.20%,Philippines,,741K
71,Grown Ups Kids' Toys @UCX7CYiI89e6wBnwytOx8A-Q,2.5M,-,Philippines,,741K
72,Ben&Ben @UCD2HT__OY6xzj-YbnAXJhfA,2.4M,0.60%,Philippines,,729K
73,Sachzna @UC6Uqgjh-hUwgEYzLZ97wHkA,2.4M,-,Philippines,Beauty,717K
74,Kath Melendez @UCyoLstvUOn_0D646NWwomdA,2.3M,-,Philippines,,702K
75,Fumiya / FumiShun Base @UCi7Ofw4sJynsacr_i6uk_lA,2.3M,-,Philippines,,693K
76,Wilbert Tolentino VLOGS @UCuqzSaI7TFlqvMkw-nWlIfA,2.3M,0.40%,Philippines,Celebrity,690K
77,BEKS BATTALION @UCMGDO2WEtB_tUMtMapDZrVg,2.3M,0.40%,Philippines,,687K
78,Shaina Denniz @UC7MKav1P5Lt2JmSzY4pDqhQ,2.3M,-,Philippines,,681K
79,Leteziaz @UChE6JU1pLupEdZgSbeBUuWw,2.3M,-,Philippines,,675K
80,iNSECTiON @iNSECTiONML,2.3M,-,Philippines,,675K
81,Evo Kaloko @UCNmHmrv5SI9Gdk5O0jEyyug,2.1M,-,Philippines,,624K
82,Jose Hallorina @JoseHallorina,2.1M,-,Philippines,,621K
83,Andree Bonifacio @UCHzbmiu_C2bEhJcHOhVn3kg,2.1M,-,Philippines,,621K
84,Jeepney TV @UCayTnP1hE285GofWkTdXclw,2M,-,Philippines,,615K
85,Chinkee Tan @chinkpositive,2M,-,Philippines,,612K
86,Doc Adam @UCsrRPShwtgobdwkglhQVlDw,2M,-,Philippines,,609K
87,Justin Vasquez @UCSVsSm4S2ZXNgT4hPqoTLBg,2M,0.10%,Philippines,,609K
88,TechRam @UC3gu7p27dis86qsoizzMgMg,2M,-,Philippines,,609K
89,Mother Kween Vlogs @UCiTDvMpAjg1d9SLwqMJGW7w,2M,0.10%,Philippines,,606K
90,RENE JAY @UClGEuBrz0PIx4sJ5kyyGCKg,2M,-,Philippines,,603K
91,Chad Kinis @UCh-XedTkeCPbf2Io-EMw6SA,2M,0.60%,Philippines,,603K
92,Rainimator @UCIGl_6GmKR7fPRBBDDRcR0Q,2M,-,Philippines,,600K
93,Pinoy Music Lover @UC0bF-pPBzm_Xu0q3fc16buQ,2M,-,Philippines,Music,597K
94,Idol Philippines @UChrqw3SxABVBY9JFQVTZxOw,2M,0.10%,Philippines,,588K
95,Win YT @UCYft-5-veqg3cVAz-bObfoQ,2M,-,Philippines,,585K
96,Panty Droppaz League @UCjuiUoq_kGqsMFSQom1lvVQ,1.9M,45%,Philippines,,582K
97,Lyca Gairanod @UC6rupOQe1pOhTUjsr9yNtug,1.9M,0.30%,Philippines,,582K
98,ML DiscipleGaming @UC8PyCBXwHDIZqZo-eQ-BYzg,1.9M,-,Philippines,,576K
99,Charoot XD @UC2cIYunQXWEoUDpOOTu3SaA,1.9M,-,Philippines,,573K
100,KYO QUIJANO @UC9V7uyaVnldZ6gnwtdLnZIA,1.9M,0.20%,Philippines,,573K
